Format Version,1.22,,,Capture Frame Rate,120,Export Frame Rate,120
,,,,,,,
,,Marker,Marker,Marker,,,
,,MarkerSet 01:index,MarkerSet 01:index,MarkerSet 01:index,,,
,,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,,,
,,Position,Position,Position,,,
Frame,Time (Seconds),X,Y,Z,,,
445,3.708333,-0.006476,0.055781,-0.008622,,,
446,3.716667,-0.006488,0.055726,-0.008606,,,
447,3.725,-0.006468,0.055718,-0.00861,,,
448,3.733333,-0.006451,0.055708,-0.008594,,,
449,3.741667,-0.006451,0.055662,-0.008575,,,
450,3.75,-0.006448,0.055659,-0.008553,,,
451,3.758333,-0.006479,0.055624,-0.008542,,,
452,3.766667,-0.006491,0.055618,-0.008538,,,
453,3.775,-0.0065,0.055625,-0.008533,,,
454,3.783333,-0.006513,0.055616,-0.008526,,,
455,3.791667,-0.006527,0.055611,-0.008515,,,
456,3.8,-0.006548,0.055571,-0.008507,,,
457,3.808333,-0.006558,0.055537,-0.008487,,,
458,3.816667,-0.006568,0.055487,-0.008455,,,
459,3.825,-0.006561,0.055441,-0.008412,,,
460,3.833333,-0.006592,0.055342,-0.008375,,,
461,3.841667,-0.00657,0.055334,-0.008337,,,
462,3.85,-0.006569,0.055306,-0.008307,,,
463,3.858333,-0.006579,0.055254,-0.008256,,,
464,3.866667,-0.006613,0.055179,-0.008198,,,
465,3.875,-0.006631,0.055141,-0.008149,,,
466,3.883333,-0.006658,0.055096,-0.008078,,,
467,3.891667,-0.006643,0.05507,-0.00799,,,
468,3.9,-0.00662,0.055046,-0.00789,,,
469,3.908333,-0.006552,0.055041,-0.007754,,,
470,3.916667,-0.006558,0.054874,-0.007636,,,
471,3.925,-0.006544,0.05475,-0.007512,,,
472,3.933333,-0.006574,0.054534,-0.007379,,,
473,3.941667,-0.00658,0.054382,-0.007231,,,
474,3.95,-0.006572,0.054264,-0.007059,,,
475,3.958333,-0.006552,0.054188,-0.006863,,,
476,3.966667,-0.006562,0.054064,-0.006678,,,
477,3.975,-0.00652,0.05402,-0.00649,,,
478,3.983333,-0.006556,0.053881,-0.006277,,,
479,3.991667,-0.006577,0.053739,-0.006039,,,
480,4,-0.006532,0.053727,-0.005785,,,
481,4.008333,-0.006577,0.053534,-0.005573,,,
482,4.016667,-0.006595,0.053433,-0.005325,,,
483,4.025,-0.00653,0.053466,-0.00502,,,
484,4.033333,-0.006585,0.053289,-0.004754,,,
485,4.041667,-0.006616,0.053166,-0.004434,,,
486,4.05,-0.006566,0.053172,-0.004099,,,
487,4.058333,-0.0066,0.05303,-0.003795,,,
488,4.066667,-0.00658,0.052968,-0.003432,,,
489,4.075,-0.006591,0.052822,-0.003059,,,
490,4.083333,-0.006615,0.052618,-0.002671,,,
